scenario,label,light_mode,n_seeds,avg_travel_mean,avg_travel_std,avg_travel_ci95,min_travel_mean,min_travel_std,min_travel_ci95,max_travel_mean,max_travel_std,max_travel_ci95,avg_wait_mean,avg_wait_std,avg_wait_ci95,min_wait_mean,min_wait_std,min_wait_ci95,max_wait_mean,max_wait_std,max_wait_ci95,avg_reservation_wait_mean,avg_reservation_wait_std,avg_reservation_wait_ci95,min_reservation_wait_mean,min_reservation_wait_std,min_reservation_wait_ci95,max_reservation_wait_mean,max_reservation_wait_std,max_reservation_wait_ci95,avg_utility_mean,avg_utility_std,avg_utility_ci95,min_utility_mean,min_utility_std,min_utility_ci95,max_utility_mean,max_utility_std,max_utility_ci95,collisions_mean,collisions_std,collisions_ci95,completed_trips_mean,completed_trips_std,completed_trips_ci95,vehicles_spawned_mean,vehicles_spawned_std,vehicles_spawned_ci95
VS-01,Multi-Vehicle Intersection Coordination,adaptive,30,21.070277777777815,5.185069507866269,1.9361367737545658,5.023333333333296,1.4102294587891857,0.5265883341489359,55.79999999999986,26.07942774916843,9.738218364678973,7.1736111111111125,2.433422966516909,0.9086550690255141,0.0,0.0,0.0,22.303333333333406,10.408699389861747,3.8866722278446666,6.748333333333337,2.412589108591971,0.9008755786239959,0.0,0.0,0.0,21.95333333333341,10.622998256331666,3.966692739684839,0.8453153374042573,0.023138275645327035,0.0086399741199656,0.6979099555667202,0.04384028413791813,0.016370231134317414,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0
VS-01,Multi-Vehicle Intersection Coordination,fixed,30,25.825555555555578,6.620739768561577,2.472224859459295,4.816666666666602,2.114821804400543,0.7896874399130008,75.1166666666659,39.29796066774379,14.674099675413967,11.96694444444446,3.9938557235919943,1.4913302365157122,0.0,0.0,0.0,39.9466666666668,20.21508029329496,7.548435036574069,11.006666666666677,3.8676942005694825,1.444220749596358,0.0,0.0,0.0,38.353333333333445,20.42352823943798,7.626270778858494,0.8048518065376231,0.030921747449619515,0.011546370256972052,0.6576685800730051,0.044766707231019776,0.01671616320251599,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0
VS-02,Heavy Traffic Congestion,adaptive,30,29.441923076922695,4.335077797491364,1.6187446529070626,4.619999999999995,1.1582983952393011,0.43251572897941415,103.33666666666316,23.646119216965094,8.829606026128403,14.586794871794902,3.2369176895128744,1.208684929444957,0.020000000000000004,0.08051557998728978,0.03006501167189166,50.54000000000028,15.388791263504741,5.746269095082104,12.864551282051305,2.5199372672114095,0.9409600398221761,0.020000000000000004,0.08051557998728978,0.03006501167189166,46.906666666666986,12.651480309552229,4.724140386661067,0.765965831837273,0.019254112383196742,0.007189603721715787,0.5732170217467539,0.04362848960762453,0.016291145756973983,0.9900578079423767,0.012842131261235717,0.004795330621998454,0.03333333333333333,0.18257418583505533,0.06817432140442342,52.0,0.0,0.0,52.0,0.0,0.0
VS-02,Heavy Traffic Congestion,fixed,30,31.245675190821824,4.254049304482801,1.5884881163654045,4.7133333333332965,0.8467924605618885,0.31619750133430047,108.97333333332882,26.144043078790578,9.762346125288529,16.85641836921253,3.2090659458950417,1.1982849174586452,0.09333333333333334,0.3894588051637045,0.14542630786260444,61.0400000000003,14.830039412135896,5.537627724856028,14.796892911010586,2.5436959153012864,0.9498316648200122,0.07333333333333333,0.28397830579274813,0.10603924208918042,57.64666666666698,14.621965841071427,5.459931776523383,0.7458038518519478,0.015549173449358952,0.0058061567875067445,0.5580096312114066,0.047706082543543284,0.017813743982447526,0.9825650609246127,0.01898518108993068,0.007089183126443948,0.06666666666666667,0.2537081317024625,0.09473617332313172,51.7,1.4656997857914031,0.5473012946595425,52.0,0.0,0.0
VS-03,Emergency Vehicle Prioritization,adaptive,30,26.091666666666722,4.719096480009976,1.762139585589273,4.756666666666609,1.1927029093135741,0.44536258566692805,83.85666666666496,25.136642896215996,9.386176714943952,11.516770833333352,2.993057979567962,1.1176262172434765,0.010000000000000002,0.040257789993644884,0.015032505835945828,39.15666666666693,13.845967502921486,5.170169234944107,10.499583333333346,2.5598360223979544,0.9558584798578411,0.010000000000000002,0.040257789993644884,0.015032505835945828,37.75000000000024,13.291188421475931,4.963011321387316,0.7931142608444858,0.018855799308749158,0.007040871175366074,0.6216854565321929,0.043833658947414145,0.016367757247526038,0.9958287240129697,0.01026170437406998,0.003831783386875167,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0
VS-03,Emergency Vehicle Prioritization,fixed,30,29.11093750000003,4.599730577256697,1.717567624981528,5.386666666666615,1.7460760605412726,0.6519955162525188,95.55999999999763,32.62704188351846,12.183137663569346,15.030416666666694,3.1818150933193525,1.1881092818749925,0.17000000000000004,0.764356840298002,0.2854155348403049,53.073333333333565,17.533631394695405,6.547165562433746,13.44729166666669,2.491394636382496,0.930302046311439,0.07333333333333333,0.28998612729402856,0.1082825995063058,51.11000000000022,17.610191994096994,6.575753760084178,0.759742421671421,0.022639755094656405,0.008453823487045159,0.5863986784344355,0.04979322257886673,0.01859309487991082,0.9929744036344281,0.015722329012749878,0.005870814137490722,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0
VS-11,Reservation Stress Test,adaptive,30,34.77049019607712,3.806778239348184,1.4214743558498066,4.7666666666665725,1.0117698161733994,0.377801058345762,130.44333333332727,32.782266898255415,12.241099636650492,19.9895424836602,3.644790305306261,1.3609870671977864,0.05,0.17955884637172517,0.06704837514440706,73.32333333333322,19.12897573430543,7.142876929086428,16.864248366013125,2.446523029173516,0.9135467128134067,0.05,0.17955884637172517,0.06704837514440706,62.83000000000029,12.797363683250229,4.778614133650875,0.7306691957873201,0.01815442833422145,0.006778974949333418,0.5114695421356533,0.0426611430529004,0.01592993261706819,0.9825776755817741,0.017712255663673897,0.006613864960644244,0.13333333333333333,0.34574590364176044,0.12910364217880804,102.0,0.0,0.0,102.0,0.0,0.0
VS-11,Reservation Stress Test,fixed,30,34.26977124182881,4.261616765948903,1.5913138529165274,4.826666666666531,0.4912568913850703,0.18343833796789258,123.03333333332758,26.8176644478363,10.013880478341594,19.685130718954312,3.423513206263928,1.2783608404913493,0.013333333333333334,0.07302967433402216,0.027269728561769378,72.11666666666662,15.659305558507164,5.847280792916799,16.609509803921615,2.4656259144932853,0.9206798474215948,0.013333333333333334,0.07302967433402216,0.027269728561769378,64.17000000000021,14.896820998523664,5.562564379035662,0.7258437636000628,0.013344996378346453,0.004983103542689183,0.51623905225497,0.033545617488033946,0.012526139431371711,0.9835370279959624,0.012311920432951023,0.004597346644941354,0.13333333333333333,0.34574590364176044,0.12910364217880804,102.0,0.0,0.0,102.0,0.0,0.0
VS-12,High-Density Traffic,adaptive,30,32.59679653679555,4.4047983134338455,1.6447787214179264,4.753333333333296,1.1494326436546811,0.42920520293074416,114.6599999999948,19.61000096713396,7.322494702960094,17.771341991342055,3.8817473502289905,1.4494682819199982,0.06333333333333335,0.32851109605291134,0.12266805925928671,59.26000000000035,12.871663611900592,4.8063581829696105,15.252251082251123,2.8276528141960546,1.055862913442118,0.043333333333333335,0.21922014338187049,0.081858146839781,56.560000000000336,13.503578069891335,5.042318919489523,0.7447725613525747,0.021167804422215063,0.00790418807295035,0.5355040732111134,0.046391030588600196,0.01732269551231604,0.98586129796917,0.016362461251326444,0.006109843443711913,0.06666666666666667,0.2537081317024625,0.09473617332313172,77.0,0.0,0.0,77.0,0.0,0.0
VS-12,High-Density Traffic,fixed,30,33.22757575757479,4.475790058079336,1.6712874745277164,4.81666666666655,0.4920634479227262,0.18373951112869566,117.51333333332778,23.525272299838498,8.784481045665034,18.62649350649356,3.378538273383244,1.2615669245534182,0.02666666666666667,0.10148325268098496,0.03789446932925268,64.72000000000023,13.747034789991343,5.133227152809864,15.933766233766274,2.4889432420267643,0.9293866806153944,0.02666666666666667,0.10148325268098496,0.03789446932925268,58.503333333333785,10.098599538731978,3.770879040425038,0.733803099821984,0.01445266972833483,0.005396715569098247,0.5348579828834283,0.03348081180501626,0.012501940591636108,0.9823451281874043,0.01408880085485871,0.005260844698767007,0.06666666666666667,0.2537081317024625,0.09473617332313172,77.0,0.0,0.0,77.0,0.0,0.0
VS-13,Priority-Based Overtaking,adaptive,30,26.091666666666722,4.719096480009976,1.762139585589273,4.756666666666609,1.1927029093135741,0.44536258566692805,83.85666666666496,25.136642896215996,9.386176714943952,11.516770833333352,2.993057979567962,1.1176262172434765,0.010000000000000002,0.040257789993644884,0.015032505835945828,39.15666666666693,13.845967502921486,5.170169234944107,10.499583333333346,2.5598360223979544,0.9558584798578411,0.010000000000000002,0.040257789993644884,0.015032505835945828,37.75000000000024,13.291188421475931,4.963011321387316,0.7931142608444858,0.018855799308749158,0.007040871175366074,0.6216854565321929,0.043833658947414145,0.016367757247526038,0.9958287240129697,0.01026170437406998,0.003831783386875167,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0
VS-13,Priority-Based Overtaking,fixed,30,29.11093750000003,4.599730577256697,1.717567624981528,5.386666666666615,1.7460760605412726,0.6519955162525188,95.55999999999763,32.62704188351846,12.183137663569346,15.030416666666694,3.1818150933193525,1.1881092818749925,0.17000000000000004,0.764356840298002,0.2854155348403049,53.073333333333565,17.533631394695405,6.547165562433746,13.44729166666669,2.491394636382496,0.930302046311439,0.07333333333333333,0.28998612729402856,0.1082825995063058,51.11000000000022,17.610191994096994,6.575753760084178,0.759742421671421,0.022639755094656405,0.008453823487045159,0.5863986784344355,0.04979322257886673,0.01859309487991082,0.9929744036344281,0.015722329012749878,0.005870814137490722,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0
VS-14,Mixed Emergency Traffic,adaptive,30,28.36436363636325,3.876650980074873,1.44756526602926,3.6066666666665506,0.8537678491428382,0.31880215423669944,103.34999999999643,18.354737244382356,6.853771525634827,13.780121212121248,2.951574930465612,1.1021361921372215,0.0,0.0,0.0,49.21333333333371,11.611312359619172,4.335735290896972,12.151575757575783,2.275392317499813,0.8496454548866651,0.0,0.0,0.0,46.126666666667035,9.46044153425146,3.532586925330709,0.7787927685176326,0.01829534819988792,0.006831595291964407,0.5732170217467539,0.04362848960762453,0.016291145756973983,1.0,0.0,0.0,0.03333333333333333,0.18257418583505533,0.06817432140442342,55.0,0.0,0.0,55.0,0.0,0.0
VS-14,Mixed Emergency Traffic,fixed,30,30.342666666666215,4.402393730416697,1.6438808353629786,3.953333333333227,1.0441077145296707,0.3898762280418533,105.88999999999575,26.320024499515565,9.82805866774265,16.14236363636368,3.299094693476287,1.231902204290128,0.0,0.0,0.0,59.05666666666696,14.093130714405742,5.262461494893169,14.109272727272756,2.536762604996115,0.9472427242040131,0.0,0.0,0.0,56.216666666666995,13.305743725622792,4.968446361278134,0.7587325450779925,0.015725470655258766,0.0058719872460830415,0.5574578393357483,0.0472509571842893,0.017643797380307854,1.0,0.0,0.0,0.06666666666666667,0.2537081317024625,0.09473617332313172,55.0,0.0,0.0,55.0,0.0,0.0
